KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/55905,MLCL CONSTRUCTION SDN BHD,"Lot 1902 dan Lot 1903, JALAN PE 32, TAMAN PAYA EMAS",Lot 1902 dan Lot 1903,JALAN PE 32,TAMAN PAYA EMAS,MELAKA TENGAH,90,F - Pembinaan,2.283550129,102.2122487
MAJIKAN,2023,PAC/10401/2023/84523,HOT ENGINEERING (MALAYSIA) SDN BHD,"35, JALAN TH 4, TMN TAMPOI HARMONI","35, JALAN TH 4",TMN TAMPOI HARMONI,,MELAKA TENGAH,10,C - Pembuatan,2.284269646,102.234019
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/40606,MITRA UNIQUE SDN BHD,"NO. 34, JALAN MARIKH 7, TAMAN TANJUNG MINYAK PERDANA.","NO. 34, JALAN MARIKH 7, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.284346219,102.1869107
MAJIKAN,2024,PAC/10401/2024/94996,TECK LEONG COFFEE & TEA MERCHANT (M) SDN BHD,"NO 22, JALAN MARIKH 6, TAMAN TANJUNG MINYAK PERDANA",NO 22,JALAN MARIKH 6,TAMAN TANJUNG MINYAK PERDANA,MELAKA TENGAH,9,C - Pembuatan,2.284464702,102.186252
MAJIKAN,2021,PAC/10401/2021/38987,GREEN LOOK MANAGEMENT SDN BHD,"NO 12, JALAN PRB 7, TAMAN PAYA RUMPUT BESTARI, 76450, MELAKA","NO 12, JALAN PRB 7, TAMAN PAYA RUMPUT BESTARI, 76450, MELAKA",,,HULU LANGAT,10,N - Aktiviti pentadbiran dan khidmat sokongan,2.284489626,102.2160712
MAJIKAN,2024,PAC/10401/2024/103239,WONWAY MANUFACTURING SDN BHD,"NO 96 (LOT 2629) (TINGKAT BAWAH SAHAJA) , JALAN PE 1, TAMAN PAYA EMAS, MUKIM PAYA RUMPUT","NO 96 (LOT 2629) (TINGKAT BAWAH SAHAJA) , JALAN PE 1",TAMAN PAYA EMAS,MUKIM PAYA RUMPUT,KLANG,11,C - Pembuatan,2.284500907,102.2055085
MAJIKAN,2023,PAC/10401/2023/80867,WENG TUCK ENGINEERING AND MACHINERY SDN BHD,"NO.77, JALAN ZUHAL 1, TAMAN TANJONG MINYAK PERDANA",NO.77,JALAN ZUHAL 1,TAMAN TANJONG MINYAK PERDANA,MELAKA TENGAH,4,C - Pembuatan,2.284515653,102.1883236
PENYEDIA PENGINAPAN BERPUSAT,2024,PAC/10401/2024/103962,YE HAO TRADING,"9-1 (Lot 24715), 11-1 (Lot 24716), 13-1 (Lot 24717), 15-1 (Lot 24718), 17-1 (Lot 24719), 19-1 (Lot 24720), Jalan Industri TMP 3,, Taman Perindustrian Tanjung Minyak Perdana, 75260 Melaka.","9-1 (Lot 24715), 11-1 (Lot 24716), 13-1 (Lot 24717), 15-1 (Lot 24718), 17-1 (Lot 24719), 19-1 (Lot 24720), Jalan Industri TMP 3,",Taman Perindustrian Tanjung Minyak Perdana,75260 Melaka.,JASIN,90,S - Aktiviti perkhidmatan lain,2.284701322,102.1808717
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/22618,MITRA UNIQUE SDN BHD,NO. 17 JALAN MARIKH 5 TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA,NO. 17 JALAN MARIKH 5 TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA,,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.284891237,102.1854017
MAJIKAN,2025,PAC/10401/2025/107586,TEKMEDIC (M) SDN BHD,"8, JALAN MARIKH 3,, TAMAN TANJUNG MINYAK PERDANA","8, JALAN MARIKH 3,",TAMAN TANJUNG MINYAK PERDANA,,MELAKA TENGAH,7,C - Pembuatan,2.284955895,102.1841412
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/22616,MITRA UNIQUE SDN BHD,"NO. 3 JALAN MARIKH 2, TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA","NO. 3 JALAN MARIKH 2, TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.284984238,102.1837812
MAJIKAN,2021,PAC/10401/2021/17429,GREEN PROJECT TRADING SDN BHD,"219-1, BATU 8, BERTAM ULU, TANJONG MINYAK, 76450 MELAKA","219-1, BATU 8, BERTAM ULU, TANJONG MINYAK, 76450 MELAKA",,,MELAKA TENGAH,10,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.284990189,102.2029983
MAJIKAN,2022,PAC/10401/2022/72589,JUPITER MULTI RESOURCES SDN BHD,"NO 12 JALAN ENGGANG 4A, TAMAN ENGGANG",NO 12 JALAN ENGGANG 4A,TAMAN ENGGANG,,ALOR GAJAH,22,F - Pembinaan,2.285013211,102.2648536
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/40609,MITRA UNIQUE SDN BHD,"NO. 20, JALAN MARIKH 4, TAMAN TANJUNG MINYAK PERDANA.","NO. 20, JALAN MARIKH 4, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.285280128,102.1851989
MAJIKAN,2024,PAC/10401/2024/104457,MAGNUM CABLE SDN BHD,"NO.3 , JALAN MARIKH 2, TAMAN TANJUNG MINYAK PERDANA, 75260 MELAKA","NO.3 , JALAN MARIKH 2",TAMAN TANJUNG MINYAK PERDANA,75260 MELAKA,MELAKA TENGAH,12,C - Pembuatan,2.285389217,102.1833375
MAJIKAN,2023,PAC/10401/2023/83248,FIRST MULTI CARTON INDUSTRIES SDN BHD,"NO.68-1 (LOT 19051),TINGKAT SATU SAHAJA),JALAN PK 16,, TAMAN PERINDUSTRIAN KRUBONG,MUKIM KRUBONG,","NO.68-1 (LOT 19051),TINGKAT SATU SAHAJA),JALAN PK 16,","TAMAN PERINDUSTRIAN KRUBONG,MUKIM KRUBONG,",,MELAKA TENGAH,12,C - Pembuatan,2.285612543,102.2417325
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/22617,MITRA UNIQUE SDN BHD,NO. 24 JALAN MARIKH 3 TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA,NO. 24 JALAN MARIKH 3 TAMAN TANJUNG MINYAK PERDANA 75260 MELAKA,,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.285706179,102.1847857
